Day,t,d,v,F
1,7,42,65,2785
2,8,68,48,3318
3,9,85,32,2711
4,10,74,40,2888
5,11,55,58,3182
6,12,48,70,3360
7,13,52,66,3375
8,14,61,55,3334
9,15,70,45,3077
10,16,83,35,2896
11,17,91,28,2581
12,18,88,31,2703
13,19,65,50,3220
14,20,44,72,3202
15,21,30,85,2535
16,7,38,70,2667
17,8,72,44,3211
18,9,80,35,2792
19,10,69,42,2883
20,11,50,62,3073
21,12,45,73,3253
22,13,58,60,3473
23,14,64,52,3282
24,15,76,40,3026
25,16,88,30,2564
26,17,94,25,2371
27,18,82,34,2845
28,19,60,55,3299
29,20,40,75,2947
30,21,28,88,2405
